Company,Year,ROA,ROE,Revenue,Total Assets,PAT,Equity
BCM,2017,"1,60%","6,87%",6.879.245,51.201.884,821.476,11.962.670
BCM,2018,"4,95%","16,52%",6.495.404,45.183.740,2.235.754,13.530.592
BCM,2019,"5,72%","15,79%",8.213.443,43.515.596,2.486.921,15.750.121
BCM,2020,"4,10%","11,55%",6.504.738,48.485.332,1.985.550,17.187.472
BCM,2021,"2,87%","8,19%",6.989.749,48.952.441,1.404.559,17.144.921
BCM,2022,"3,49%","9,39%",6.506.378,48.289.575,1.685.043,17.945.128
BCM,2023,"4,54%","12,44%",7.882.566,53.423.902,2.423.169,19.472.891
BCM,2024,"3,72%","10,58%",5.239.237,58.780.758,2.187.091,20.679.200
BCM,2025,"5,74%","14,98%",6.953.015,60.941.012,3.500.888,23.371.675
NVL,2015,"1,56%","6,82%",6.673.435,26.570.409,415.423,6.095.209
NVL,2016,"4,56%","16,57%",7.359.181,36.527.076,1.665.078,10.046.890
NVL,2017,"4,11%","15,34%",11.632.336,49.466.962,2.033.482,13.256.391
NVL,2018,"4,62%","15,77%",15.290.394,69.912.213,3.227.005,20.460.126
NVL,2019,"3,81%","14,03%",10.930.983,89.979.243,3.431.331,24.461.074
NVL,2020,"2,71%","12,27%",5.026.358,144.536.346,3.919.072,31.932.147
NVL,2021,"1,60%","7,83%",14.902.760,201.833.547,3.224.687,41.173.113
NVL,2022,"0,84%","4,82%",11.134.230,257.734.876,2.162.071,44.817.730
NVL,2023,"0,25%","1,34%",4.756.902,241.486.380,605.578,45.302.850
NVL,2024,"-2,71%","-13,65%",9.073.375,237.777.981,-6.454.780,47.291.024
NVL,2025,"0,74%","3,16%",6.965.748,249.907.849,1.861.408,58.892.990
KBC,2015,"4,48%","7,61%",1.434.852,13.653.707,611.911,8.036.005
KBC,2016,"3,80%","6,47%",1.972.459,14.657.548,557.370,8.621.090
KBC,2017,"3,70%","6,47%",1.260.199,15.779.768,584.522,9.038.107
KBC,2018,"4,41%","7,58%",2.491.179,16.909.732,746.155,9.837.358
KBC,2019,"5,59%","8,85%",3.209.906,16.432.990,918.362,10.381.131
KBC,2020,"0,94%","2,10%",2.150.963,23.785.878,224.033,10.652.995
KBC,2021,"2,56%","4,84%",4.245.982,30.603.980,782.304,16.171.359
KBC,2022,"4,37%","8,55%",950.266,34.906.513,1.526.351,17.845.519
KBC,2023,"6,07%","10,04%",5.618.475,33.434.220,2.030.699,20.220.873
KBC,2024,"0,85%","1,85%",2.775.773,44.729.925,381.924,20.644.906
KBC,2025,"3,02%","7,87%",6.687.126,69.581.174,2.103.625,26.725.844
KDH,2015,"3,05%","6,22%",1.049.940,8.541.570,260.419,4.185.345
KDH,2016,"4,68%","8,45%",3.931.643,7.936.912,371.775,4.397.812
KDH,2017,"5,17%","8,11%",3.054.812,9.716.622,502.251,6.190.897
KDH,2018,"7,90%","11,71%",2.916.595,10.227.895,808.078,6.899.499
KDH,2019,"6,91%","11,94%",2.813.353,13.237.325,915.233,7.664.360
KDH,2020,"8,27%","14,13%",4.532.069,13.934.472,1.152.766,8.158.100
KDH,2021,"8,37%","11,76%",3.738.368,14.372.699,1.202.474,10.221.205
KDH,2022,"5,12%","9,35%",2.911.963,21.539.251,1.102.954,11.794.533
KDH,2023,"2,70%","4,61%",2.087.771,26.480.720,715.674,15.522.904
KDH,2024,"2,63%","4,17%",3.278.584,30.757.720,810.414,19.453.434
KDH,2025,"3,07%","5,64%",4.651.105,34.074.020,1.045.471,18.522.858
SSH,2015,,,,,,
SSH,2016,,,,,,
SSH,2017,,,,,,
SSH,2018,,,,,,
SSH,2019,"7,70%","15,24%",1.573.852,5.800.799,446.685,2.931.631
SSH,2020,"1,93%","7,61%",1.507.695,10.013.226,192.928,2.535.602
SSH,2021,"3,06%","11,51%",1.352.700,9.753.181,298.308,2.591.340
SSH,2022,"1,61%","5,90%",858.295,19.326.948,310.824,5.270.660
SSH,2023,"8,80%","19,88%",2.901.240,13.200.835,1.161.235,5.840.447
SSH,2024,"5,59%","12,34%",2.933.923,14.394.873,804.353,6.519.554
SSH,2025,"-3,29%","-6,54%",597.089,12.139.247,-399.286,6.107.750
VPI,2015,"-0,17%","-1,02%",223.333,2.110.483,-3.505,343.903
VPI,2016,"0,66%","4,92%",772.104,2.693.511,17.896,363.505
VPI,2017,"11,28%","20,70%",875.449,3.737.475,421.718,2.036.804
VPI,2018,"6,27%","17,16%",2.152.086,6.722.364,421.646,2.457.569
VPI,2019,"5,64%","18,81%",3.057.265,8.972.345,506.343,2.691.168
VPI,2020,"3,10%","10,17%",2.164.999,9.703.534,300.922,2.958.224
VPI,2021,"3,54%","10,26%",2.610.596,9.835.484,348.132,3.394.445
VPI,2022,"4,86%","14,36%",2.152.086,11.095.990,539.690,3.758.707
VPI,2023,"3,96%","12,51%",1.864.842,12.530.858,496.225,3.966.629
VPI,2024,"2,95%","6,47%",1.897.331,11.138.519,328.475,5.074.140
VPI,2025,"2,65%","7,14%",1.976.352,14.727.969,390.644,5.474.402
DIG,2015,"0,21%","0,39%",655.225,5.089.310,10.461,2.656.336
DIG,2016,"0,99%","2,09%",1.151.929,5.875.806,58.446,2.798.061
DIG,2017,"3,23%","6,79%",1.593.711,6.083.230,196.235,2.890.561
DIG,2018,"4,74%","10,06%",2.345.008,6.832.108,323.992,3.219.360
DIG,2019,"4,77%","9,75%",2.115.744,8.197.229,390.990,4.009.446
DIG,2020,"6,01%","14,85%",2.487.174,11.826.163,711.238,4.790.129
DIG,2021,"5,85%","12,85%",2.568.689,16.846.905,986.154,7.671.483
DIG,2022,"0,98%","1,85%",1.896.689,14.747.796,144.128,7.794.735
DIG,2023,"0,71%","1,50%",1.025.747,16.827.607,118.727,7.893.558
DIG,2024,"0,62%","1,42%",1.300.999,18.539.324,114.536,8.041.311
DIG,2025,"3,41%","6,45%",4.717.667,18.959.639,646.459,10.025.617
PDR,2015,"2,07%","6,86%",402.514,7.540.835,155.728,2.270.832
PDR,2016,"2,69%","10,09%",1.496.666,9.002.350,242.520,2.403.797
PDR,2017,"4,42%","15,56%",1.326.626,9.948.855,439.880,2.826.881
PDR,2018,"5,82%","18,32%",2.147.709,11.057.426,643.317,3.511.626
PDR,2019,"6,26%","20,01%",3.400.186,13.961.379,874.139,4.368.929
PDR,2020,"7,81%","23,49%",3.911.212,15.617.490,1.220.117,5.194.277
PDR,2021,"9,07%","22,90%",3.620.224,20.551.879,1.865.004,8.144.511
PDR,2022,"4,98%","12,28%",1.504.575,22.843.296,1.137.263,9.260.530
PDR,2023,"3,25%","7,14%",617.515,21.067.823,684.059,9.579.392
PDR,2024,"0,65%","1,40%",821.691,23.985.552,155.088,11.058.509
PDR,2025,"1,89%","4,15%",1.324.975,27.270.247,515.070,12.423.939
CEO,2015,"5,32%","12,69%",639.404,2.621.012,139.432,1.099.046
CEO,2016,"4,09%","10,02%",1.410.434,3.834.549,156.983,1.566.577
CEO,2017,"3,14%","7,94%",1.832.799,5.652.286,177.650,2.238.283
CEO,2018,"2,65%","9,03%",2.246.238,8.422.490,223.232,2.471.279
CEO,2019,"5,57%","12,22%",4.550.055,8.037.362,447.910,3.665.754
CEO,2020,"-0,90%","-1,94%",1.323.835,7.438.270,-67.165,3.456.345
CEO,2021,"1,32%","2,64%",901.811,7.050.052,93.150,3.534.352
CEO,2022,"3,95%","7,50%",2.548.999,7.060.487,278.907,3.719.155
CEO,2023,"1,60%","2,41%",1.393.473,9.424.848,150.764,6.246.056
CEO,2024,"2,12%","3,01%",1.307.936,8.957.583,190.154,6.312.301
CEO,2025,"2,03%","2,75%",1.338.663,8.730.058,177.282,6.441.658
DXG,2015,"9,42%","19,00%",1.394.505,3.573.347,336.629,1.771.359
DXG,2016,"9,66%","15,19%",2.506.517,5.562.791,537.204,3.537.355
DXG,2017,"7,32%","16,13%",2.879.241,10.264.403,750.891,4.653.845
DXG,2018,"8,58%","19,01%",4.645.319,13.728.715,1.178.427,6.199.094
DXG,2019,"6,12%","13,18%",5.813.578,19.880.517,1.216.515,9.227.821
DXG,2020,"-2,13%","-5,46%",2.890.654,23.311.433,-495.745,9.084.041
DXG,2021,"4,10%","8,65%",10.089.385,28.254.061,1.157.260,13.381.475
DXG,2022,"0,71%","1,53%",5.511.715,30.320.666,214.869,14.084.932
DXG,2023,"0,60%","1,21%",3.724.826,28.786.441,171.983,14.186.368
DXG,2024,"0,88%","1,68%",4.795.471,29.183.374,255.935,15.202.281
DXG,2025,"0,96%","1,74%",4.191.885,38.014.589,363.942,20.882.509
GEL,2015,,,,,,
GEL,2016,,,,,,
GEL,2017,,,,,,
GEL,2018,,,,,,
GEL,2019,,,,,,
GEL,2020,,,,,,
GEL,2021,,,,,,
GEL,2022,"4,87%","10,05%",15.354.257,32.723.500,1.593.485,15.849.884
GEL,2023,"2,60%","6,18%",14.137.115,37.800.143,981.860,15.899.469
GEL,2024,"3,09%","6,58%",12.712.652,35.575.805,1.098.752,16.686.510
GEL,2025,"2,97%","7,35%",14.301.759,46.925.726,1.393.742,18.962.402
PWA,2015,,,,,,
PWA,2016,,,,,,
PWA,2017,"0,20%","1,05%",21.726,556.515,1.097,104.858
PWA,2018,"3,07%","19,58%",85.999,697.787,21.446,109.537
PWA,2019,"8,05%","35,42%",418.483,535.852,43.114,121.718
PWA,2020,"10,51%","28,16%",295.115,335.364,35.261,125.206
PWA,2021,"-14,03%","-44,97%",17.588,280.915,-39.403,87.621
PWA,2022,"-3,28%","-10,52%",15.023,256.241,-8.398,79.796
PWA,2023,"-2,16%","-6,05%",19.273,211.560,-4.562,75.451
PWA,2024,"-1,04%","-2,90%",11.103,202.947,-2.114,73.003
PWA,2025,"4,31%","11,18%",25.087,199.404,8.596,76.859
TIG,2015,"10,06%","12,16%",310.779,864.957,87.047,715.840
TIG,2016,"4,64%","5,20%",177.617,946.204,43.904,844.931
TIG,2017,"5,22%","6,31%",186.837,1.046.647,54.630,865.378
TIG,2018,"5,25%","5,94%",259.746,1.130.528,59.380,999.824
TIG,2019,"7,74%","9,53%",303.786,1.499.508,116.070,1.217.366
TIG,2020,"3,92%","5,58%",471.498,1.857.035,72.831,1.304.415
TIG,2021,"5,54%","9,70%",906.313,3.518.555,194.890,2.008.994
TIG,2022,"5,26%","9,09%",943.537,4.315.723,227.222,2.500.450
TIG,2023,"5,36%","8,60%",1.232.618,4.141.564,222.119,2.582.760
TIG,2024,"4,33%","8,43%",1.495.660,4.073.402,176.551,2.094.752
TIG,2025,"1,82%","3,43%",1.072.169,4.079.990,74.385,2.170.349
SGR,2015,"2,20%","9,17%",128.288,900.499,19.815,216.011
