Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Asset Turnover Ratio,Equity,Nợ phải trả,LEV
KSF,2022,0,0.0291,0.0543,554619,12601063,367109,0.0440,6762360,5838702,0.463
KSF,2023,0,0.0076,0.0191,2469469,18245785,138888,0.1353,7279115,10966670,0.601
KSF,2024,0,0.0330,0.0987,2469469,20558337,679170,0.1201,6879244,13679093,0.665
KSF,2025,0,0.0708,0.4280,20198173,120143673,8502086,0.1681,19863271,100280401,0.835
BCM,2015,0,0.0094,0.0429,7337544,51471671,484962,0.1426,11315498,40156173,0.780
BCM,2016,0,0.0137,0.0603,7299657,57246332,786907,0.1275,13049644,44196688,0.772
BCM,2017,0,0.0160,0.0687,6879245,51201884,821476,0.1344,11962670,39239214,0.766
BCM,2018,0,0.0495,0.1652,6495404,45183740,2235754,0.1438,13530592,31653148,0.701
BCM,2019,0,0.0572,0.1579,8213443,43515596,2486921,0.1887,15750121,27765476,0.638
BCM,2020,1,0.0410,0.1155,6504738,48485332,1985550,0.1342,17187472,31297860,0.646
BCM,2021,1,0.0287,0.0819,6989749,48952441,1404559,0.1428,17144921,31807520,0.650
BCM,2022,0,0.0349,0.0939,6506378,48289575,1685043,0.1347,17945128,30344448,0.628
BCM,2023,0,0.0454,0.1244,7882566,53423902,2423169,0.1475,19472891,33951011,0.636
BCM,2024,0,0.0372,0.1058,5239237,58780758,2187091,0.0891,20679200,38101557,0.648
BCM,2025,0,0.0574,0.1498,6953015,60941012,3500888,0.1141,23371675,37569337,0.616
NVL,2015,0,0.0156,0.0682,6673435,26570409,415423,0.2512,6095209,20475199,0.771
NVL,2016,0,0.0456,0.1657,7359181,36527076,1665078,0.2015,10046890,26480186,0.725
NVL,2017,0,0.0411,0.1534,11632336,49466962,2033482,0.2352,13256391,36210571,0.732
NVL,2018,0,0.0462,0.1577,15290394,69912213,3227005,0.2187,20460126,49452087,0.707
NVL,2019,0,0.0381,0.1403,10930983,89979243,3431331,0.1215,24461074,65518169,0.728
NVL,2020,1,0.0271,0.1227,5026358,144536346,3919072,0.0348,31932147,112604198,0.779
NVL,2021,1,0.0160,0.0783,14902760,201833547,3224687,0.0738,41173113,160660434,0.796
NVL,2022,0,0.0084,0.0482,11134230,257734876,2162071,0.0432,44817730,212917146,0.826
NVL,2023,0,0.0025,0.0134,4756902,241486380,605578,0.0197,45302850,196183530,0.812
NVL,2024,0,-0.0271,-0.1365,9073375,237777981,-6454780,0.0382,47291024,190486956,0.801
NVL,2025,0,0.0074,0.0316,6965748,249907849,1861408,0.0279,58892990,191014858,0.764
KBC,2015,0,0.0448,0.0761,1434852,13653707,611911,0.1051,8036005,5617702,0.411
KBC,2016,0,0.0380,0.0647,1972459,14657548,557370,0.1346,8621090,6036458,0.412
KBC,2017,0,0.0370,0.0647,1260199,15779768,584522,0.0799,9038107,6741660,0.427
KBC,2018,0,0.0441,0.0758,2491179,16909732,746155,0.1473,9837358,7072374,0.418
KBC,2019,0,0.0559,0.0885,3209906,16432990,918362,0.1953,10381131,6051859,0.368
KBC,2020,1,0.0094,0.0210,2150963,23785878,224033,0.0904,10652995,13132883,0.552
KBC,2021,1,0.0256,0.0484,4245982,30603980,782304,0.1387,16171359,14432621,0.472
KBC,2022,0,0.0437,0.0855,950266,34906513,1526351,0.0272,17845519,17060994,0.489
KBC,2023,0,0.0607,0.1004,5618475,33434220,2030699,0.1680,20220873,13213348,0.395
KBC,2024,0,0.0085,0.0185,2775773,44729925,381924,0.0621,20644906,24085019,0.538
KBC,2025,0,0.0302,0.0787,6687126,69581174,2103625,0.0961,26725844,42855330,0.616
KDH,2015,0,0.0305,0.0622,1049940,8541570,260419,0.1229,4185345,4356226,0.510
KDH,2016,0,0.0468,0.0845,3931643,7936912,371775,0.4954,4397812,3539099,0.446
KDH,2017,0,0.0517,0.0811,3054812,9716622,502251,0.3144,6190897,3525725,0.363
KDH,2018,0,0.0790,0.1171,2916595,10227895,808078,0.2852,6899499,3328395,0.325
KDH,2019,0,0.0691,0.1194,2813353,13237325,915233,0.2125,7664360,5572965,0.421
KDH,2020,1,0.0827,0.1413,4532069,13934472,1152766,0.3252,8158100,5776372,0.415
KDH,2021,1,0.0837,0.1176,3738368,14372699,1202474,0.2601,10221205,4151494,0.289
KDH,2022,0,0.0512,0.0935,2911963,21539251,1102954,0.1352,11794533,9744717,0.452
KDH,2023,0,0.0270,0.0461,2087771,26480720,715674,0.0788,15522904,10957816,0.414
KDH,2024,0,0.0263,0.0417,3278584,30757720,810414,0.1066,19453434,11304286,0.368
KDH,2025,0,0.0307,0.0564,4651105,34074020,1045471,0.1365,18522858,12909740,0.379
SSH,2015,0,,,,,,,,,
SSH,2016,0,,,,,,,,,
SSH,2017,0,,,,,,,,,
SSH,2018,0,,,,,,,,,
SSH,2019,0,0.0770,0.1524,1573852,5800799,446685,0.2713,2931631,2869167,0.495
SSH,2020,1,0.0193,0.0761,1507695,10013226,192928,0.1506,2535602,7477624,0.747
SSH,2021,1,0.0306,0.1151,1352700,9753181,298308,0.1387,2591340,7161841,0.734
SSH,2022,0,0.0161,0.0590,858295,19326948,310824,0.0444,5270660,14056289,0.727
SSH,2023,0,0.0880,0.1988,2901240,13200835,1161235,0.2198,5840447,7360388,0.558
SSH,2024,0,0.0559,0.1234,2933923,14394873,804353,0.2038,6519554,7875319,0.547
SSH,2025,0,-0.0329,-0.0654,597089,12139247,-399286,0.0492,6107750,6031497,0.497
VPI,2015,0,-0.0017,-0.0102,223333,2110483,-3505,0.1058,343903,1766581,0.837
VPI,2016,0,0.0066,0.0492,772104,2693511,17896,0.2867,363505,2330006,0.865
VPI,2017,0,0.1128,0.2070,875449,3737475,421718,0.2342,2036804,1700670,0.455
VPI,2018,0,0.0627,0.1716,2152086,6722364,421646,0.3201,2457569,4264795,0.634
VPI,2019,0,0.0564,0.1881,3057265,8972345,506343,0.3407,2691168,6281177,0.700
VPI,2020,1,0.0310,0.1017,2164999,9703534,300922,0.2231,2958224,6745309,0.695
VPI,2021,1,0.0354,0.1026,2610596,9835484,348132,0.2654,3394445,6441039,0.655
VPI,2022,0,0.0486,0.1436,2152086,11095990,539690,0.1940,3758707,7337284,0.661
VPI,2023,0,0.0396,0.1251,1864842,12530858,496225,0.1488,3966629,8564229,0.683
VPI,2024,0,0.0295,0.0647,1897331,11138519,328475,0.1703,5074140,6064379,0.544
VPI,2025,0,0.0265,0.0714,1976352,14727969,390644,0.1342,5474402,9253567,0.628
DIG,2015,0,0.0021,0.0039,655225,5089310,10461,0.1287,2656336,2432973,0.478
DIG,2016,0,0.0099,0.0209,1151929,5875806,58446,0.1960,2798061,3077745,0.524
DIG,2017,0,0.0323,0.0679,1593711,6083230,196235,0.2620,2890561,3192669,0.525
DIG,2018,0,0.0474,0.1006,2345008,6832108,323992,0.3432,3219360,3612748,0.529
DIG,2019,0,0.0477,0.0975,2115744,8197229,390990,0.2581,4009446,4187782,0.511
DIG,2020,1,0.0601,0.1485,2487174,11826163,711238,0.2103,4790129,7036034,0.595
DIG,2021,1,0.0585,0.1285,2568689,16846905,986154,0.1525,7671483,9175422,0.545
DIG,2022,0,0.0098,0.0185,1896689,14747796,144128,0.1286,7794735,6953061,0.471
DIG,2023,0,0.0071,0.0150,1025747,16827607,118727,0.0610,7893558,8934049,0.531
DIG,2024,0,0.0062,0.0142,1300999,18539324,114536,0.0702,8041311,10498013,0.566
DIG,2025,0,0.0341,0.0645,4717667,18959639,646459,0.2488,10025617,8934022,0.471
PDR,2015,0,0.0207,0.0686,402514,7540835,155728,0.0534,2270832,5270003,0.699
PDR,2016,0,0.0269,0.1009,1496666,9002350,242520,0.1663,2403797,6598553,0.733
PDR,2017,0,0.0442,0.1556,1326626,9948855,439880,0.1333,2826881,7121974,0.716
PDR,2018,0,0.0582,0.1832,2147709,11057426,643317,0.1942,3511626,7545800,0.682
PDR,2019,0,0.0626,0.2001,3400186,13961379,874139,0.2435,4368929,9592451,0.687
PDR,2020,1,0.0781,0.2349,3911212,15617490,1220117,0.2504,5194277,10423212,0.667
PDR,2021,1,0.0907,0.2290,3620224,20551879,1865004,0.1762,8144511,12407368,0.604
PDR,2022,0,0.0498,0.1228,1504575,22843296,1137263,0.0659,9260530,13582766,0.595
PDR,2023,0,0.0325,0.0714,617515,21067823,684059,0.0293,9579392,11488431,0.545
PDR,2024,0,0.0065,0.0140,821691,23985552,155088,0.0343,11058509,12927043,0.539
