Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
KSF,2016,0,,,,,,
KSF,2017,0,,,,,,
KSF,2018,0,-0.0027,-0.0055,1916314,5090234,-13708,2485604
KSF,2019,0,0.0449,0.0817,1448982,4928223,221187,2706791
KSF,2020,1,0.0180,0.1072,1241490,11185533,201705,1882142
KSF,2021,1,0.0358,0.0589,1212592,10278663,367720,6245504
KSF,2022,0,0.0291,0.0543,554619,12601063,367109,6762360
KSF,2023,0,0.0076,0.0191,2469469,18245785,138888,7279115
KSF,2024,0,0.0330,0.0987,2469469,20558337,679170,6879244
KSF,2025,0,0.0708,0.4280,20198173,120143673,8502086,19863271
BCM,2015,0,0.0094,0.0429,7337544,51471671,484962,11315498
BCM,2016,0,0.0137,0.0603,7299657,57246332,786907,13049644
BCM,2017,0,0.0160,0.0687,6879245,51201884,821476,11962670
BCM,2018,0,0.0495,0.1652,6495404,45183740,2235754,13530592
BCM,2019,0,0.0572,0.1579,8213443,43515596,2486921,15750121
BCM,2020,1,0.0410,0.1155,6504738,48485332,1985550,17187472
BCM,2021,1,0.0287,0.0819,6989749,48952441,1404559,17144921
BCM,2022,0,0.0349,0.0939,6506378,48289575,1685043,17945128
BCM,2023,0,0.0454,0.1244,7882566,53423902,2423169,19472891
BCM,2024,0,0.0372,0.1058,5239237,58780758,2187091,20679200
BCM,2025,0,0.0574,0.1498,6953015,60941012,3500888,23371675
NVL,2015,0,0.0156,0.0682,6673435,26570409,415423,6095209
NVL,2016,0,0.0456,0.1657,7359181,36527076,1665078,10046890
NVL,2017,0,0.0411,0.1534,11632336,49466962,2033482,13256391
NVL,2018,0,0.0462,0.1577,15290394,69912213,3227005,20460126
NVL,2019,0,0.0381,0.1403,10930983,89979243,3431331,24461074
NVL,2020,1,0.0271,0.1227,5026358,144536346,3919072,31932147
NVL,2021,1,0.0160,0.0783,14902760,201833547,3224687,41173113
NVL,2022,0,0.0084,0.0482,11134230,257734876,2162071,44817730
NVL,2023,0,0.0025,0.0134,4756902,241486380,605578,45302850
NVL,2024,0,-0.0271,-0.1365,9073375,237777981,-6454780,47291024
NVL,2025,0,0.0074,0.0316,6965748,249907849,1861408,58892990
KBC,2015,0,0.0448,0.0761,1434852,13653707,611911,8036005
KBC,2016,0,0.0380,0.0647,1972459,14657548,557370,8621090
KBC,2017,0,0.0370,0.0647,1260199,15779768,584522,9038107
KBC,2018,0,0.0441,0.0758,2491179,16909732,746155,9837358
KBC,2019,0,0.0559,0.0885,3209906,16432990,918362,10381131
KBC,2020,1,0.0094,0.0210,2150963,23785878,224033,10652995
KBC,2021,1,0.0256,0.0484,4245982,30603980,782304,16171359
KBC,2022,0,0.0437,0.0855,950266,34906513,1526351,17845519
KBC,2023,0,0.0607,0.1004,5618475,33434220,2030699,20220873
KBC,2024,0,0.0085,0.0185,2775773,44729925,381924,20644906
KBC,2025,0,0.0302,0.0787,6687126,69581174,2103625,26725844
KDH,2015,0,0.0305,0.0622,1049940,8541570,260419,4185345
KDH,2016,0,0.0468,0.0845,3931643,7936912,371775,4397812
KDH,2017,0,0.0517,0.0811,3054812,9716622,502251,6190897
KDH,2018,0,0.0790,0.1171,2916595,10227895,808078,6899499
KDH,2019,0,0.0691,0.1194,2813353,13237325,915233,7664360
KDH,2020,1,0.0827,0.1413,4532069,13934472,1152766,8158100
KDH,2021,1,0.0837,0.1176,3738368,14372699,1202474,10221205
KDH,2022,0,0.0512,0.0935,2911963,21539251,1102954,11794533
KDH,2023,0,0.0270,0.0461,2087771,26480720,715674,15522904
KDH,2024,0,0.0263,0.0417,3278584,30757720,810414,19453434
KDH,2025,0,0.0307,0.0564,4651105,34074020,1045471,18522858
SSH,2015,0,,,,,,
SSH,2016,0,,,,,,
SSH,2017,0,,,,,,
SSH,2018,0,,,,,,
SSH,2019,0,0.0770,0.1524,1573852,5800799,446685,2931631
SSH,2020,1,0.0193,0.0761,1507695,10013226,192928,2535602
SSH,2021,1,0.0306,0.1151,1352700,9753181,298308,2591340
SSH,2022,0,0.0161,0.0590,858295,19326948,310824,5270660
SSH,2023,0,0.0880,0.1988,2901240,13200835,1161235,5840447
SSH,2024,0,0.0559,0.1234,2933923,14394873,804353,6519554
SSH,2025,0,-0.0329,-0.0654,597089,12139247,-399286,6107750
VPI,2015,0,-0.0017,-0.0102,223333,2110483,-3505,343903
VPI,2016,0,0.0066,0.0492,772104,2693511,17896,363505
VPI,2017,0,0.1128,0.2070,875449,3737475,421718,2036804
VPI,2018,0,0.0627,0.1716,2152086,6722364,421646,2457569
VPI,2019,0,0.0564,0.1881,3057265,8972345,506343,2691168
VPI,2020,1,0.0310,0.1017,2164999,9703534,300922,2958224
VPI,2021,1,0.0354,0.1026,2610596,9835484,348132,3394445
VPI,2022,0,0.0486,0.1436,2152086,11095990,539690,3758707
VPI,2023,0,0.0396,0.1251,1864842,12530858,496225,3966629
VPI,2024,0,0.0295,0.0647,1897331,11138519,328475,5074140
VPI,2025,0,0.0265,0.0714,1976352,14727969,390644,5474402
DIG,2015,0,0.0021,0.0039,655225,5089310,10461,2656336
DIG,2016,0,0.0099,0.0209,1151929,5875806,58446,2798061
